total_price,unit_price
298,20136
38,5589
26,6517
133,15063
156,23420
73,11068
72,8193
34,5027
139.8,19199
116,21772
98.7,15239
132,14990
77,8882
85.6,12665
109,12211
64.5,21415
206,15471
53,10136
120,15385
71,7889
88,11342
146,20807
46,9851
128,19738
170,20372
64.5,10670
154,22482
31,8621
50.5,14230
65,11806
132,22056
72,13091
156.5,16834
74.5,15124
41,8330
240,20816
253,28184
168,21109
67,13268
72.6,10372
39,11573
63,10536
110,12236
255,17463
96.5,15377
133,13554
55,11029
107,14458
59,20688
146,19115
76,22837
79.8,15433
110.5,14625
110,14474
122,17135
116,19668
125,33931
80,12536
75,7964
99.8,15437
70,16655
117,11434
70.5,19876
50.8,16127
53,5706
40,5548
107,12815
62,11924
240,20989
189,37823
91,13058
68,16586
84,13562
78.8,13273
81.5,16980
108,16401
74,16533
79.8,10640
175.8,24937
145,20533
111,12379
65,14746
65,11281
58,8780
48.8,14677
155,13597
102,12863
199,22353
56.8,9552
76,9637
163,22611
269,24816
175,36323
65,13320
82,15019
38.5,11534
59.8,12057
54.5,9803
50,14890
123,14758
119,12409
78.5,12999
88.8,16000
39.9,4953
300,30417
57,7125
180,18648
92.8,15176
79.5,17651
108,17311
76,17650
98.9,14588
123.5,15396
57,9400
120,17185
98,10104
95,15929
56,8648
199.8,21310
81,13889
71,11953
52,15016
150,13373
104,19440
87,13111
195,21349
86,12414
147,18750
67,19947
35.5,4549
88,12543
114,15699
131,22455
255,17466
72,8373
195.5,22516
61,12921
69.8,17898
145,19492
142,17288
285,19579
108,14429
238,26982
130,16910
61,9105
123,35642
58,15917
103,11579
108,12531
63,9670
89.5,10381
65,9559
43,11915
61.9,13578
135,24996
150,17538
87,12206
83,13388
71,12921
67,8538
68,12416
195,20968
145,8735
71,13190
143.5,14350
179,23356
329,19116
330,21569
125,22882
114.5,15322
54.4,13436
136,18449
104,15500
135,29127
210,22434
159,31025
175,22757
295,22096
73,17906
132,28170
95,13063
275,29375
120,14235
140,16092
80,12058
125,20379
159,21317
166,19604
101,13031
148,18645
350,29984
110,6655
108,19143
96.5,12645
169.9,23853
248,25408
118,12587
75,6574
90,13672
90,8061
79.8,9173
330,24485
82.5,15327
165,30522
67.5,9958
95,12649
105,14562
128,14266
152,7415
139,15841
305,16759
420,36624
53.8,10931
106,12079
175,12412
450,25296
95,17192
75,10870
79,14886
72,13614
270,19660
223,23948
208,23155
420,21909
59.5,11476
75,11206
37,8573
73.6,9685
75,7182
130,11927
46,9109
320,18605
40,6439
190,13039
95,9485
212,20982
39.8,7980
97,9458
299,25712
165,16567
145,17975
130,11700
73,21117
45,12159
85.8,8938
89,18852
158,29857
125,20103
129.5,20369
119,12985
101,18308
185,13187
76,8541
220,23222
122,18724
260,16914
254,30871
149,19990
92,10340
225,16496
155,14091
128.3,15064
165,18966
385,28374
136,11552
86,18136
67,15481
215,36923
119,21446
149,13112
180,17103
182,21740
590,25691
33,8049
140,15933
210,15248
82,9330
149,15938
148,14676
72,6729
55,11418
135,17483
128,9216
260,25337
192,27670
97,9974
82,22627
39.9,10008
82,12350
62,14253
22,4967
93,11627
307,25584
86,10791
88,12199
108,12531
163,20008
95,9979
66.9,12489
130,11398
130,12121
145,13967
186,19013
225,22014
153.6,16986
305,12825
176,21386
120,13973
55,8040
110,16655
235,27080
130,14890
91,14092
246,17203
305,33946
65,7289
850,30910
21,6177
71.8,16074
66,15512
280,45104
168,14806
110,16052
125,16448
130,13053
180,20502
235,26702
378,42472
178,13145
180,22817
185,22290
60,8296
60,9158
211,21646
44,10132
110,26725
275,18939
339,22371
600,27686
430,19790
283,21264
150,18055
79,12067
71,13289
99,12942
138,29774
55,14938
73,21611
54,8226
50,8489
365,45495
385,26474
115,12170
130,13397
145,12104
105,22341
370,18618
415,28736
140,14563
240,16784
83,13545
27,6169
119,19007
405,45409
120,18327
83.8,14569
34,7255
62,11273
179,20921
270,29380
126.9,14900
187,17443
120,13614
135,15138
105,9423
102,9665
160,14587
300,19885
140,16165
112,14724
320,20509
115,5477
158,17982
665,27734
195,13699
750,24542
480,18675
150,8410
126,14066
147,18375
20.5,5788
340,22078
210,23886
249,28054
200,16667
162,17499
158,28702
176,14640
345,22218
408,21713
170,13116
130,13961
300,21464
192,21523
230,24150
210,15734
118,22571
94,9976
117,13008
170,14117
295,18041
100,5823
400,17022
80,12173
100,9642
215,17436
159,24376
430,28523
735,24051
119.5,11635
99,21541
223,18490
